filename,operator,plot,accession,plant,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/2637/2080_1_5_23_59_57.csv,ES,2637,Tuson:C10-872(2),1,A,144.356263,152.6387608,156.3211629,0.942857143,35
./data/2637/2080_1_5_23_59_50.csv,ES,2637,Tuson:C10-872(2),1,B,120.7798544,152.9851965,151.9523873,0.942857143,35
./data/2637/2080_1_5_23_59_50(2).csv,ES,2637,Tuson:C10-872(2),1,C,78.56088852,97.69327503,103.8987179,0.902439024,41
./data/2637/2080_1_5_23_59_48.csv,ES,2637,Tuson:C10-872(2),2,A,128.7221137,165.3943891,207.9752004,0.853658537,41
./data/2637/2080_1_5_23_59_48(2).csv,ES,2637,Tuson:C10-872(2),2,B,128.0220719,150.2662764,164.6163495,0.795918367,49
./data/2637/2080_1_5_23_59_48(3).csv,ES,2637,Tuson:C10-872(2),2,C,90.79338592,119.3708204,125.1656558,0.632653061,49
./data/2637/2080_1_5_23_59_48(4).csv,ES,2637,Tuson:C10-872(2),3,A,144.184022,181.0839067,182.5343001,0.916666667,36
./data/2637/2018_10_31_18_45_18.csv,ES,2637,Tuson:C10-872(2),3,B,117.8911075,133.60031,134.2835896,0.944444444,36
./data/2637/2018_10_31_18_46_16.csv,ES,2637,Tuson:C10-872(2),3,C,78.07590601,103.2997947,110.2971246,0.911764706,34
./data/2643/2018_10_31_19_45_4.csv,ES,2643,Tuson:C4-839(2),1,A,48.10712086,187.3800024,204.8011221,0.896551724,29
./data/2643/2018_10_31_19_46_20.csv,ES,2643,Tuson:C4-839(2),1,B,4.000492787,46.70135861,53.14055913,0.866666667,15
./data/2643/2018_10_31_19_45_24.csv,ES,2643,Tuson:C4-839(2),2,A,152.8671789,231.7079689,233.8986746,0.923076923,26
./data/2643/2018_10_31_19_47_3.csv,ES,2643,Tuson:C4-839(2),2,B,184.0199104,247.5786031,247.6464489,0.931034483,29
./data/2643/2018_10_31_19_48_0.csv,ES,2643,Tuson:C4-839(2),2,C,49.13675734,95.55877558,71.71359859,0.913043478,23
./data/2646/2018_10_31_20_1_6.csv,ES,2646,Tuson:C4-178(6),1,A,107.5020745,155.4009341,162.5691535,0.84,25
./data/2646/2018_10_31_20_2_19.csv,ES,2646,Tuson:C4-178(6),1,B,111.8955526,143.3601129,153.6821919,0.8,35
./data/2646/2018_10_31_20_1_32.csv,ES,2646,Tuson:C4-178(6),2,A,97.84403743,134.6366014,114.9784527,0.833333333,24
./data/2646/2018_10_31_20_2_45.csv,ES,2646,Tuson:C4-178(6),2,B,74.52456813,105.4523188,109.3526591,0.84,25
./data/2646/2018_10_31_20_3_56.csv,ES,2646,Tuson:C4-178(6),2,C,33.67743754,52.20069076,53.0631352,0.862068966,29
./data/2646/2018_10_31_20_1_52.csv,ES,2646,Tuson:C4-178(6),3,A,113.9009101,168.2567302,159.6156597,0.935483871,31
