filename,operator,time,plot,plant,,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/FirstSet/2019_9_2_13_1_50(17).csv,JR,9AM,1383,11,,80.58933068,96.20214838,111.7525723,0.666666667,18
./data/FirstSet/2019_9_2_13_1_50(18).csv,JR,9AM,1259,1,,286.287176,259.4280281,296.8123497,0.888888889,18
./data/FirstSet/2019_9_2_13_1_50(19).csv,JR,9AM,1259,2,,247.1116251,191.9830811,236.5080531,0.894736842,19
./data/FirstSet/2019_9_2_13_1_50(2).csv,JR,9AM,1383,7,,250.8083501,272.0789687,259.5276704,0.80952381,21
./data/FirstSet/2019_9_2_13_1_50(20).csv,JR,9AM,1259,3,,318.9100451,353.7463362,426.6091575,0.888888889,18
./data/FirstSet/2019_9_2_13_1_50(21).csv,JR,9AM,1259,4,,112.4504022,109.3959084,166.7260231,0.611111111,18
./data/FirstSet/2019_9_2_13_1_50(22).csv,JR,9AM,1259,5,,214.5485388,251.6212049,279.6148405,0.85,20
./data/FirstSet/2019_9_2_13_1_50(23).csv,JR,9AM,1259,6,,261.6542114,212.6979521,186.1280916,0.882352941,17
./data/FirstSet/2019_9_2_13_1_50(24).csv,JR,9AM,1259,7,,217.4953227,265.7578602,251.33626,0.9,20
./data/FirstSet/2019_9_2_13_1_50(25).csv,JR,9AM,1259,8,,302.5020657,320.2994913,311.6546775,0.904761905,21
./data/FirstSet/2019_9_2_13_1_50(26).csv,JR,9AM,1259,9,,269.0993152,342.4860501,352.0569545,0.913043478,23
./data/FirstSet/2019_9_2_13_1_50(27).csv,JR,9AM,1259,10,,290.6537002,247.4910174,246.4863056,0.9,20
./data/FirstSet/2019_9_2_13_1_50(28).csv,JR,9AM,1259,11,,125.1972277,124.2392015,134.6098099,0.869565217,23
./data/FirstSet/2019_9_2_13_1_50(29).csv,JR,9AM,1259,12,,202.3787389,214.4429086,228.7261673,0.909090909,22
./data/FirstSet/2019_9_2_13_1_50(3).csv,JR,9AM,1383,8,,250.2529426,384.1215067,287.1924612,0.526315789,19
./data/FirstSet/2019_9_2_13_1_50(30).csv,JR,9AM,1259,1,,226.0541995,282.8291645,308.2968147,0.894736842,19
./data/FirstSet/2019_9_2_13_1_50(31).csv,JR,9AM,1259,2,,204.0758977,214.4588291,227.3905503,0.9,20
./data/FirstSet/2019_9_2_13_1_50(32).csv,JR,9AM,1259,3,,324.6240421,371.5537683,350.1553435,0.894736842,19
./data/FirstSet/2019_9_2_13_1_50(33).csv,JR,9AM,1259,4,,94.39996551,153.6455971,184.2194175,0.68,25
./data/FirstSet/2019_9_2_13_1_50(34).csv,JR,9AM,1259,5,,235.5281943,276.5958815,324.5820168,0.64,25
./data/FirstSet/2019_9_2_13_1_50(35).csv,JR,9AM,1259,6,,277.7721152,312.0441033,297.9099097,0.761904762,21
./data/FirstSet/2019_9_2_13_1_50(36).csv,JR,9AM,1259,7,,244.3043619,222.6710492,242.2176056,0.789473684,19
./data/FirstSet/2019_9_2_13_1_50(37).csv,JR,9AM,1259,8,,325.8669523,360.8373633,503.0907939,0.85,20
./data/FirstSet/2019_9_2_13_1_50(38).csv,JR,9AM,1259,9,,275.8077341,296.1909113,294.1036831,0.9,20
./data/FirstSet/2019_9_2_13_1_50(39).csv,JR,9AM,1259,10,,225.3115851,265.473337,347.0507224,0.9,20
./data/FirstSet/2019_9_2_13_1_50(4).csv,JR,9AM,1383,9,,185.8324494,226.73082,241.2676035,0.764705882,17
./data/FirstSet/2019_9_2_13_1_50(40).csv,JR,9AM,1259,11,,129.2931182,97.87855107,103.2023408,0.869565217,23
./data/FirstSet/2019_9_2_13_1_50(5).csv,JR,9AM,1383,10,,214.1062662,191.7730824,161.0077159,0.625,16
./data/FirstSet/2019_9_2_13_1_50(6).csv,JR,9AM,1383,11,,84.9558035,82.37685083,130.9200045,0.857142857,21
./data/FirstSet/2019_9_2_13_1_50(7).csv,JR,9AM,1383,1,,294.8871746,265.5113817,287.3440131,0.875,16
./data/FirstSet/2019_9_2_13_1_50(8).csv,JR,9AM,1383,2,,260.9900936,238.9055616,301.2569537,0.684210526,19
./data/FirstSet/2019_9_2_13_1_50(9).csv,JR,9AM,1383,3,,313.887449,218.8829487,370.396621,0.882352941,17
./data/FirstSet/2019_9_2_13_1_8.csv,JR,9AM,1383,4,,309.2779573,282.3513256,155.6870861,0.52173913,23
./data/FirstSet/2019_9_2_13_22_12.csv,JR,9AM,1259,12,,203.4414843,208.7775674,243.5701129,0.615384615,26
./data/FirstSet/2019_9_2_13_22_12(10).csv,JR,9AM,1259,9,,258.2095303,274.4150302,338.3396431,0.80952381,21
./data/FirstSet/2019_9_2_13_22_12(11).csv,JR,9AM,1259,10,,228.7172387,283.099936,301.9438637,0.909090909,22
./data/FirstSet/2019_9_2_13_22_12(12).csv,JR,9AM,1259,11,,117.7310732,117.3467013,140.290257,0.80952381,21
./data/FirstSet/2019_9_2_13_22_12(2).csv,JR,9AM,1259,1,,234.5821392,305.6680635,326.1708435,0.842105263,19
./data/FirstSet/2019_9_2_13_22_12(3).csv,JR,9AM,1259,2,,227.0784008,182.4086529,166.5617198,0.80952381,21
./data/FirstSet/2019_9_2_13_22_12(4).csv,JR,9AM,1259,3,,310.9885487,348.6878323,401.2909472,0.777777778,18
./data/FirstSet/2019_9_2_13_22_12(5).csv,JR,9AM,1259,4,,108.1781818,131.4812847,133.770063,0.833333333,24
./data/FirstSet/2019_9_2_13_22_12(6).csv,JR,9AM,1259,5,,226.9788896,253.2975476,339.7647149,0.909090909,22
./data/FirstSet/2019_9_2_13_22_12(7).csv,JR,9AM,1259,6,,282.2431647,348.9207822,315.1656552,0.894736842,19
./data/FirstSet/2019_9_2_13_22_12(8).csv,JR,9AM,1259,7,,266.9870912,273.3147902,285.2454517,0.909090909,22
./data/FirstSet/2019_9_2_13_22_12(9).csv,JR,9AM,1259,8,,305.4955775,333.791387,368.1690644,0.727272727,22
