filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/FirstSet/2019_9_2_13_1_50(24).csv,JR,9AM,blue,CML258,7,Plot A,1259,217.4953227,265.7578602,271.3923056,0.9,20
./data/FirstSet/2019_9_2_13_1_50(36).csv,JR,9AM,red,CML258,7,Plot A,1259,244.3043619,222.6710492,242.2176056,0.789473684,19
./data/FirstSet/2019_9_2_13_22_12(8).csv,JR,9AM,black,CML258,7,Plot A,1259,266.9870912,273.3147902,299.7611749,0.909090909,22
./data/FirstSet/2019_9_2_13_1_50(25).csv,JR,9AM,blue,CML258,8,Plot A,1259,302.5020657,320.2994913,303.426628,0.904761905,21
./data/FirstSet/2019_9_2_13_1_50(37).csv,JR,9AM,red,CML258,8,Plot A,1259,325.8669523,360.8373633,514.2670479,0.85,20
./data/FirstSet/2019_9_2_13_22_12(9).csv,JR,9AM,black,CML258,8,Plot A,1259,305.4955775,333.791387,348.2802897,0.727272727,22
./data/FirstSet/2019_9_2_13_1_50(26).csv,JR,9AM,blue,CML258,9,Plot A,1259,269.0993152,342.4860501,353.2576636,0.913043478,23
./data/FirstSet/2019_9_2_13_1_50(38).csv,JR,9AM,red,CML258,9,Plot A,1259,275.8077341,296.1909113,294.1036831,0.9,20
./data/FirstSet/2019_9_2_13_22_12(10).csv,JR,9AM,black,CML258,9,Plot A,1259,258.2095303,274.4150302,352.3132514,0.80952381,21
./data/FirstSet/2019_9_2_13_1_50(27).csv,JR,9AM,blue,CML258,10,Plot A,1259,290.6537002,247.4910174,246.4863056,0.9,20
./data/FirstSet/2019_9_2_13_1_50(39).csv,JR,9AM,red,CML258,10,Plot A,1259,225.3115851,265.473337,347.0507224,0.9,20
./data/FirstSet/2019_9_2_13_22_12(11).csv,JR,9AM,black,CML258,10,Plot A,1259,228.7172387,283.099936,298.5477334,0.909090909,22
./data/FirstSet/2019_9_2_13_1_50(28).csv,JR,9AM,blue,CML258,11,Plot A,1259,125.1972277,124.2392015,134.6098099,0.869565217,23
./data/FirstSet/2019_9_2_13_1_50(40).csv,JR,9AM,red,CML258,11,Plot A,1259,129.2931182,97.87855107,97.31975814,0.869565217,23
./data/FirstSet/2019_9_2_13_22_12(12).csv,JR,9AM,black,CML258,11,Plot A,1259,117.7310732,117.3467013,135.6357571,0.80952381,21
./data/FirstSet/2019_9_2_13_1_50(29).csv,JR,9AM,blue,CML258,12,Plot A,1259,202.3787389,214.4429086,224.4674936,0.909090909,22
./data/FirstSet/2019_9_2_13_22_12.csv,JR,9AM,red,CML258,12,Plot A,1259,203.4414843,208.7775674,243.5701129,0.615384615,26
./data/FirstSet/2019_9_2_13_27_14.csv,JR,9AM,black,CML258,12,Plot A,1259,192.9647929,212.2044884,211.7111347,0.9,20
./data/SecondSet/2019_9_2_15_50_58.csv,JR,12PM,blue,CML258,1,Plot A,1259,223.1699893,221.9880652,213.043543,0.8125,16
./data/SecondSet/2019_9_2_15_55_59.csv,JR,12PM,red,CML258,1,Plot A,1259,222.5213001,191.8234231,204.2413508,0.894736842,19
./data/SecondSet/2019_9_2_16_1_44.csv,JR,12PM,black,CML258,1,Plot A,1259,216.6576391,242.8872279,235.4396785,0.894736842,19
./data/SecondSet/2019_9_2_15_51_19.csv,JR,12PM,blue,CML258,2,Plot A,1259,188.2077892,178.7931364,197.1031779,0.818181818,22
