Accession,SelectionYear,Plot,Plant,LoadCellHeight,Operator,Label,RawSlope,Brnumber,Ratio
Tuson:C4-177(6),4,2684,1,0.6,ES,./data/2684/2018_11_4_15_15_16.csv,213.477121,2,0.325415969
Tuson:C4-177(6),4,2684,2,0.6,ES,./data/2684/2018_11_4_15_16_8.csv,148.457734,2,0.686821011
Tuson:C4-177(6),4,2684,3,0.6,ES,./data/2684/2018_11_4_15_16_34.csv,129.364035,1,0.741405337
Tuson:C6-858(4),6,2651,1,0.6,ES,./data/2651/2018_10_31_20_26_18.csv,167.028487,2,0.448403076
Tuson:C6-858(4),6,2651,2,0.6,ES,./data/2651/2018_10_31_20_26_44.csv,156.670676,2,0.712568254
Tuson:C6-849(4),6,2654,1,0.6,ES,./data/2654/2018_11_3_14_47_48.csv,81.1302317,1,1.019306213
Tuson:C6-849(4),6,2654,2,0.6,ES,./data/2654/2018_11_3_14_48_12.csv,81.5892562,2,0.323392067
Tuson:C6-849(4),6,2654,3,0.6,ES,./data/2654/2018_11_3_14_48_59.csv,11.6940096,2,1.183502946
Tuson:C6-852(3),6,2660,1,0.6,ES,./data/2660/2018_11_3_15_37_30.csv,90.786517,2,0.424214086
Tuson:C6-852(3),6,2660,2,0.6,ES,./data/2660/2018_11_3_15_38_4.csv,212.987551,1,0.398642762
Tuson:C6-857(8),6,2671,1,0.6,ES,./data/2671/2018_11_3_18_3_1.csv,104.840765,1,0.561618698
Tuson:C6-857(8),6,2671,2,0.6,ES,./data/2671/2018_11_3_18_4_4.csv,125.218671,1,0.663427929
Tuson:C6-856(5),6,2688,1,0.6,ES,./data/2688/2018_11_4_15_46_46.csv,235.991303,1,0.422428187
Tuson:C6-856(5),6,2688,2,0.6,ES,./data/2688/2018_11_4_15_47_3.csv,98.5637567,1,0.536617378
Tuson:C6-856(5),6,2688,3,0.6,ES,./data/2688/2018_11_4_15_47_42.csv,115.864629,1,0.626493389
Tuson:C6-857(8),6,2710,1,0.6,ES,./data/2710/2018_11_4_17_18_15(33).csv,167.017629,1,0.601451425
Tuson:C6-857(8),6,2710,2,0.6,ES,./data/2710/2018_11_4_17_18_15(34).csv,144.645803,2,0.502946784
Tuson:C6-857(8),6,2710,3,0.6,ES,./data/2710/2018_11_4_17_18_15(35).csv,126.315135,1,0.729486248
Tuson:C8-861(1),8,2681,1,0.6,ES,./data/2681/2018_11_3_18_56_52(14).csv,85.4598967,1,0.543693799
Tuson:C8-861(1),8,2681,2,0.6,ES,./data/2681/2018_11_3_18_56_52(15).csv,46.9199093,1,0.627366405
Tuson:C8-861(1),8,2681,3,0.6,ES,./data/2681/2018_11_3_18_56_52(16).csv,64.310778,2,0.938230135
Tuson:C8-860(1),8,2685,1,0.6,ES,./data/2685/2018_11_4_15_22_34.csv,24.5224328,1,0.816317678
Tuson:C8-860(1),8,2685,2,0.6,ES,./data/2685/2018_11_4_15_23_5.csv,30.8120588,1,0.767424038
Tuson:C8-860(1),8,2685,3,0.6,ES,./data/2685/2018_11_4_15_23_39.csv,27.3085233,1,1.129649398
Tuson:C8-864(3),8,2692,1,0.6,ES,./data/2692/2018_11_4_16_4_28.csv,37.647271,1,0.792899079
Tuson:C8-864(3),8,2692,2,0.6,ES,./data/2692/2018_11_4_16_5_35.csv,96.7276211,2,0.488593072
Tuson:C8-864(3),8,2692,3,0.6,ES,./data/2692/2018_11_4_16_6_0.csv,56.9765603,2,0.269717998
Tuson:C10-872(2),10,2637,1,0.6,ES,./data/2637/2080_1_5_23_59_57.csv,144.356263,2,0.54421531
Tuson:C10-872(2),10,2637,2,0.6,ES,./data/2637/2080_1_5_23_59_48.csv,128.722114,2,0.705344118
Tuson:C10-872(2),10,2637,3,0.6,ES,./data/2637/2080_1_5_23_59_48(4).csv,144.184022,2,0.54150179
Tuson:C10-869(6),10,2669,1,0.6,ES,./data/2669/2018_11_3_17_46_35.csv,89.4846272,1,0.453228488
Tuson:C10-869(6),10,2669,2,0.6,ES,./data/2669/2018_11_3_17_47_30.csv,136.195504,1,0.434019089
Tuson:C10-869(6),10,2669,3,0.6,ES,./data/2669/2018_11_3_17_47_58.csv,118.794303,1,0.458089946
Tuson:C10-873(1),10,2708,1,0.6,ES,./data/2708/2018_11_4_17_18_15(17).csv,142.587893,1,0.790359445
Tuson:C10-873(1),10,2708,2,0.6,ES,./data/2708/2018_11_4_17_18_15(18).csv,96.7175289,2,0.146263955
Tuson:C10-873(1),10,2708,3,0.6,ES,./data/2708/2018_11_4_17_18_15(19).csv,196.571208,3,0.128826126
