site,site_no,lat,lon,plot,rep,block,set,check ,gen_mean,gen_slope,family,Sparks_set,entry,stand,pd,dta,R.dtagdd0630sa,dts,R.dtsgdd0630sa,asi,R.asigdd0630sa,plh,erh,peh,tsw,spl,dta_min4,dta_min4_o,R.dtagdd0630sa_min4,R.dtagdd0630sa_min4_o,dts_min4,dts_min4_o,R.dtsgdd0630sa_min4,R.dtsgdd0630sa_min4_o,asi_min4,asi_min4_o,R.asigdd0630sa_min4,R.asigdd0630sa_min4_o,plh_min4,plh_min4_o,erh_min4,erh_min4_o,peh_min4,peh_min4_o,tsw_min4,tsw_min4_o,spl_min4,spl_min4_o
newaDE,3,39.67,-75.75,1306,1,9,1,NA,g0,0,15,169_1,169_1,16,14/05/2009,82,1207.527778,90,1350.805556,8,143.2777778,330.75,224.38,106.37,6.08,280,82,82,1207.527778,1207.527778,90,90,1350.805556,1350.805556,8,8,143.2777778,143.2777778,330.75,330.75,224.38,224.38,106.37,106.37,6.08,6.08,280,280
newaDE,3,39.67,-75.75,1308,1,9,1,NA,g8,8,221,864_3,864_3,14,14/05/2009,70,987.6666667,73,1037.944444,3,50.27777778,246.5,131,115.5,3.62,282,70,70,987.6666667,987.6666667,73,73,1037.944444,1037.944444,3,3,50.27777778,50.27777778,246.5,246.5,131,131,115.5,115.5,3.62,3.62,282,282
newaDE,3,39.67,-75.75,1313,1,10,1,NA,g0,0,5,164_5,164_5,10,14/05/2009,88,1311.083333,92,1387.222222,4,76.13888889,331.8,244.2,87.6,4.53,219,88,88,1311.083333,1311.083333,92,92,1387.222222,1387.222222,4,4,76.13888889,76.13888889,331.8,331.8,244.2,244.2,87.6,87.6,4.53,4.53,219,219
newaDE,3,39.67,-75.75,1314,1,10,1,NA,g4,4,87,839_2,839_2,12,14/05/2009,77,1115.277778,80,1171.5,3,56.22222222,283.63,154.88,128.75,6.35,217,77,77,1115.277778,1115.277778,80,80,1171.5,1171.5,3,3,56.22222222,56.22222222,283.63,283.63,154.88,154.88,128.75,128.75,6.35,6.35,217,217
newaDE,3,39.67,-75.75,1315,1,10,1,NA,g2,2,65,832_2,832_2,11,14/05/2009,81,1189.388889,85,1258.444444,4,69.05555556,302.5,182.63,119.87,3.55,239,81,81,1189.388889,1189.388889,85,85,1258.444444,1258.444444,4,4,69.05555556,69.05555556,302.5,302.5,182.63,182.63,119.87,119.87,3.55,3.55,239,239
newaDE,3,39.67,-75.75,1320,1,10,1,NA,g4,4,36,177_6,177_6,10,14/05/2009,77,1115.277778,80,1171.5,3,56.22222222,276.25,156,120.25,4.67,243,77,77,1115.277778,1115.277778,80,80,1171.5,1171.5,3,3,56.22222222,56.22222222,276.25,276.25,156,156,120.25,120.25,4.67,4.67,243,243
newaDE,3,39.67,-75.75,1350,1,12,1,NA,g10,10,267,873_1,873_1,10,14/05/2009,72,1020.027778,74,1058.111111,2,38.08333333,240.75,120.13,120.62,6.66,202,72,72,1020.027778,1020.027778,74,74,1058.111111,1058.111111,2,2,38.08333333,38.08333333,240.75,240.75,120.13,120.13,120.62,120.62,6.66,6.66,202,202
newaDE,3,39.67,-75.75,1352,1,12,1,NA,g0,0,6,165_1,165_1,14,14/05/2009,88,1311.083333,95,1439.472222,7,128.3888889,317.25,208.71,108.54,9.64,214,88,88,1311.083333,1311.083333,95,95,1439.472222,1439.472222,7,7,128.3888889,128.3888889,317.25,317.25,208.71,208.71,108.54,108.54,9.64,9.64,214,214
newaDE,3,39.67,-75.75,1356,1,12,1,NA,g10,10,246,869_6,869_6,15,14/05/2009,68,953.9166667,69,970.1111111,1,16.19444444,235.88,127.5,108.38,3.77,207,68,68,953.9166667,953.9166667,69,69,970.1111111,970.1111111,1,1,16.19444444,16.19444444,235.88,235.88,127.5,127.5,108.38,108.38,3.77,3.77,207,207
newaDE,3,39.67,-75.75,1363,1,13,1,NA,g8,8,199,861_1,861_1,15,14/05/2009,70,987.6666667,73,1037.944444,3,50.27777778,250,117.13,132.87,5.68,216,70,70,987.6666667,987.6666667,73,73,1037.944444,1037.944444,3,3,50.27777778,50.27777778,250,250,117.13,117.13,132.87,132.87,5.68,5.68,216,216
newaDE,3,39.67,-75.75,1368,1,13,1,NA,g4,4,30,176_4,176_4,16,14/05/2009,77,1115.277778,81,1189.388889,4,74.11111111,317.13,184.88,132.25,4.69,232,77,77,1115.277778,1115.277778,81,81,1189.388889,1189.388889,4,4,74.11111111,74.11111111,317.13,317.13,184.88,184.88,132.25,132.25,4.69,4.69,232,232
newaDE,3,39.67,-75.75,1389,1,14,1,NA,g2,2,20,172_3,172_3,16,14/05/2009,82,1207.527778,90,1350.805556,8,143.2777778,335.25,218.86,116.39,4.45,124,82,82,1207.527778,1207.527778,90,90,1350.805556,1350.805556,8,8,143.2777778,143.2777778,335.25,335.25,218.86,218.86,116.39,116.39,4.45,4.45,124,124
newaDE,3,39.67,-75.75,1393,1,14,1,NA,g6,6,133,849_4,849_4,15,14/05/2009,73,1037.944444,75,1076.083333,2,38.13888889,245.38,151.25,94.13,4.21,206,73,73,1037.944444,1037.944444,75,75,1076.083333,1076.083333,2,2,38.13888889,38.13888889,245.38,245.38,151.25,151.25,94.13,94.13,4.21,4.21,206,206
newaDE,3,39.67,-75.75,1395,1,15,1,NA,g6,6,151,852_3,852_3,13,14/05/2009,73,1037.944444,76,1095.305556,3,57.36111111,240.75,138.13,102.62,6.61,240,73,73,1037.944444,1037.944444,76,76,1095.305556,1095.305556,3,3,57.36111111,57.36111111,240.75,240.75,138.13,138.13,102.62,102.62,6.61,6.61,240,240
newaDE,3,39.67,-75.75,1438,1,17,1,NA,g6,6,176,856_5,856_5,13,14/05/2009,73,1037.944444,74,1058.111111,1,20.16666667,248.63,152,96.63,4.42,218,73,73,1037.944444,1037.944444,74,74,1058.111111,1058.111111,1,1,20.16666667,20.16666667,248.63,248.63,152,152,96.63,96.63,4.42,4.42,218,218
newaDE,3,39.67,-75.75,1445,1,17,1,NA,g4,4,31,176_5,176_5,12,14/05/2009,77,1115.277778,80,1171.5,3,56.22222222,286.5,170.25,116.25,7.94,255,77,77,1115.277778,1115.277778,80,80,1171.5,1171.5,3,3,56.22222222,56.22222222,286.5,286.5,170.25,170.25,116.25,116.25,7.94,7.94,255,255
newaDE,3,39.67,-75.75,3183,2,1,1,NA,g6,6,133,849_4,849_4,14,14/05/2009,74,1058.111111,76,1095.305556,2,37.19444444,236,142.13,93.87,3.87,232,74,74,1058.111111,1058.111111,76,76,1095.305556,1095.305556,2,2,37.19444444,37.19444444,236,236,142.13,142.13,93.87,93.87,3.87,3.87,232,232
newaDE,3,39.67,-75.75,3185,2,1,1,NA,g8,8,199,861_1,861_1,14,14/05/2009,72,1020.027778,72,1020.027778,0,0,242.13,122.13,120,5.25,231,72,72,1020.027778,1020.027778,72,72,1020.027778,1020.027778,0,0,0,0,242.13,242.13,122.13,122.13,120,120,5.25,5.25,231,231
newaDE,3,39.67,-75.75,3213,2,2,1,NA,g4,4,87,839_2,839_2,11,14/05/2009,83,1225.944444,83,1225.944444,0,0,267.38,154.13,113.25,4.89,199,83,83,1225.944444,1225.944444,83,83,1225.944444,1225.944444,0,0,0,0,267.38,267.38,154.13,154.13,113.25,113.25,4.89,4.89,199,199
newaDE,3,39.67,-75.75,3242,2,4,1,NA,g4,4,30,176_4,176_4,15,14/05/2009,80,1171.5,83,1225.944444,3,54.44444444,309.88,187.88,122,3.9,249,80,80,1171.5,1171.5,83,83,1225.944444,1225.944444,3,3,54.44444444,54.44444444,309.88,309.88,187.88,187.88,122,122,3.9,3.9,249,249
newaDE,3,39.67,-75.75,3246,2,4,1,NA,g8,8,221,864_3,864_3,11,14/05/2009,71,1003.361111,71,1003.361111,0,0,244,134.63,109.37,4.21,251,71,71,1003.361111,1003.361111,71,71,1003.361111,1003.361111,0,0,0,0,244,244,134.63,134.63,109.37,109.37,4.21,4.21,251,251
newaDE,3,39.67,-75.75,3248,2,5,1,NA,g2,2,56,830_2,830_2,4,14/05/2009,81,1189.388889,81,1189.388889,0,0,295,178.33,116.67,4.91,264,81,81,1189.388889,1189.388889,81,81,1189.388889,1189.388889,0,0,0,0,295,295,178.33,178.33,116.67,116.67,4.91,4.91,264,264
newaDE,3,39.67,-75.75,3268,2,6,1,NA,g8,8,194,860_1,860_1,13,14/05/2009,70,987.6666667,71,1003.361111,1,15.69444444,241.13,109.63,131.5,3.68,240,70,70,987.6666667,987.6666667,71,71,1003.361111,1003.361111,1,1,15.69444444,15.69444444,241.13,241.13,109.63,109.63,131.5,131.5,3.68,3.68,240,240
